卐	(卍|万|卐|萬)
卒	(䘚|卆|卒)
卓	(棹|卓|掉|桌|櫂)
協	(勰|协|恊|旪|協|脅|胁|脇)
单	(單|单|単)
卖	(賣|卖|売)
単	(單|单|単)
博	(愽|博)
卝	(丱|卝)
占	(佔|占)
卢	(盧|卢|盧)
卤	(鹵|卤)
卧	(臥|卧)
卩	(㔾|節|部|卩|罇|节|墫|樽)
卫	(衛|卫|衞)
卬	(卭|卬)
卭	(卬|卭)
卮	(巵|卮)
卯	(夘|戼|卯)
即	(卽|即)
却	(卻|却)
卵	(卵|卵)
卷	(捲|卷|巻)
卸	(缷|卸)
卹	(恤|卹|賉)
卻	(却|卻)
卽	(即|卽)
厂	(廠|厂|厰)
厄	(戹|阨|厄|呃|阸)
厅	(廳|厅|厛|庁|廰)
历	(厲|曆|歷|历|厉|厤|暦|歴|曆|歷)
厉	(厲|历|厉|曆|歷|厤|暦|歴|曆|歷)
压	(壓|压|圧)
厌	(厭|厌)
厍	(厙|厍)
厎	(砥|厎)
厐	(龎|龐|厐|厖|庞|庬)
厓	(崖|厓|崕)
厕	(廁|厕|厠)
厖	(庬|龐|厖|厐|庞|龎)
厘	(釐|𭀖|厘)
厙	(厍|厙)
厛	(廳|厅|厛|庁|廰)
厠	(廁|厕|厠)
厢	(廂|厢)
厣	(厴|厣)
厤	(曆|历|厤|暦|歴|歷|曆|厲|歷|厉)
厦	(廈|厦)
厨	(㕑|廚|𢊍|厨)
厩	(廄|廐|厩|廏)
厪	(廑|厪)
厭	(厌|厭)
厮	(㒋|廝|厮)
厰	(廠|厂|厰)
厲	(历|厉|厲|曆|歷|厤|暦|歴|曆|歷)
厳	(嚴|严|厳)
厴	(厣|厴)
厵	(源|厵|沅)
厶	(某|私|厶)
厷	(肱|厷)
厹	(叴|厹)
县	(縣|县)
叁	(三|參|叄|叁|参|叅|蓡|薓|參)
参	(參|叁|参|叄|叅|蓡|薓|參|三)
參	(叁|参|叄|叅|蓡|薓|參|三|參)
叄	(叁|參|三|叄|参|叅|蓡|薓|參)
叅	(參|叁|参|叄|叅|蓡|薓|參|三)
叆	(靉|叆)
叇	(靆|叇)
叉	(釵|叉|钗)
双	(雙|双)
収	(收|㧃|収)
发	(發|髮|发|彂|発|髪)
叔	(尗|叔)
变	(變|变|変)
叙	(敍|敘|叙)
叜	(傁|叟|叜|墰|壜|罈|坛|壇)
叝	(告|叝|吿)
叟	(傁|叜|墰|叟|壜|罈|坛|壇)
叠	(曡|疊|叠|疉|畳|迭)
叡	(睿|叡)
叢	(丛|樷|叢)
句	(勾|句|句)
叨	(饕|叨)
只	(子|止|祇|祗|隻|只)
叫	(呌|叫)
台	(台|檯|臺|颱|儓|枱)
叴	(厹|叴)
叵	(尀|叵)
叶	(葉|叶|葉)
号	(號|号)
叹	(嘆|叹|歎)
叽	(嘰|叽)
吁	(籲|吁|龥)
吃	(喫|吃)
吅	(喧|吅|諠)
合	(閤|合|闔|阖)
吊	(弔|吊)
吋	(寸|吋)
同	(仝|同|衕)
后	(后|後)
吏	(吏|吏)
向	(嚮|曏|向)
吒	(咤|吒)
吓	(嚇|吓)
吕	(呂|吕|呂)
吗	(嗎|吗)
吚	(咿|吚)
吝	(恡|悋|吝|吝)
吞	(呑|吞)
吟	(唫|吟)
吣	(唚|吣)
吨	(啍|噸|吨)
含	(唅|含)
听	(聽|听|聴|聼)
启	(啓|啟|启|啔)
吲	(哂|吲)
吳	(吴|呉|吳)
吴	(吳|吴|呉)
吶	(呐|訥|吶|讷)
吸	(噏|吸)
吹	(龡|吹)
吻	(呡|肳|吻)
吿	(告|叝|吿)
呂	(吕|呂|呂)
呃	(阨|厄|呃|阸|戹)
呆	(獃|騃|呆|𫘤)
呉	(吳|吴|呉)
告	(叝|吿|告)
呌	(叫|呌)
呐	(吶|呐|訥|讷)
呑	(吞|呑)
呒	(嘸|呒)
呓	(囈|呓)
呕	(嘔|呕|慪|怄)
呖	(嚦|呖)
呗	(唄|呗)
员	(員|员)
呙	(咼|呙)
呛	(嗆|呛)
呜	(嗚|呜)
呠	(噴|歕|呠|喷)
呡	(吻|呡|肳)
周	(週|周)
呪	(咒|詋|呪)
呱	(哌|呱)
呴	(詬|呴|訽|诟)
呵	(嗬|訶|诃|呵)
呼	(嘑|虖|謼|呼)
咀	(嘴|觜|咀)
咂	(𠯗|咂)
咊	(和|龢|咊)
和	(咊|龢|和)
咏	(詠|咏)
咒	(呪|咒|詋)
咙	(嚨|咙)
咛	(嚀|咛)
咝	(噝|咝)
咤	(吒|咤)
咥	(嘻|咥)
咨	(嗞|諮|谘|咨)
咩	(哶|咩)
咬	(齩|咬)
咮	(胄|伷|冑|咮)
咯	(詻|咯)
咱	(偺|喒|咱|昝)
咲	(笑|咲)
咳	(欬|咳)
咷	(啕|咷)
咸	(鹹|咸)
咼	(呙|咼)
咽	(嚥|咽|咽)
咿	(吚|咿)
哂	(吲|哂)
哄	(閧|鬨|哄)
哌	(呱|哌)
响	(響|响)
哑	(啞|哑|唖|瘂|痖)
哒	(噠|哒)
哓	(嘵|哓)
哔	(嗶|哔)
哕	(噦|哕|𧬨)
哗	(嘩|譁|哗)
哙	(噲|哙)
哜	(嚌|哜)
哝	(噥|哝)
哟	(喲|哟)
員	(员|員)
哦	(誐|哦)
哯	(𠯟|哯)
哲	(喆|悊|哲)
哴	(喨|哴)
哶	(咩|哶)
哼	(苛|哼)
唁	(喭|唁)
唄	(呗|唄)
唅	(含|唅)
唇	(脣|唇)
唉	(欸|誒|诶|唉)
唊	(硤|唊|硖)
唖	(啞|哑|唖|瘂|痖)
唚	(吣|唚)
唛	(嘜|唛)
唝	(嗊|唝)
唠	(嘮|唠)
唡	(啢|唡)
唢	(嗩|唢)
唤	(喚|唤)
唧	(喞|唧)
唫	(吟|唫)
唬	(猇|虓|諕|唬)
唷	(唹|唷)
唹	(唷|唹)
唾	(涶|唾)
啃	(齦|啃|龈)
啊	(阿|啊|窕)
啍	(吨|啍|噸)
啎	(忤|啎|迕)
問	(问|問)
啓	(启|啔|啟|啓)
啔	(啓|启|啔|啟)
啕	(咷|啕)
啖	(㗖|啗|噉|啖)
啗	(㗖|啖|噉|啗)
啜	(欼|歠|諁|啜)
啞	(哑|唖|瘂|啞|痖)
啟	(启|啓|啟|啔)
啢	(唡|啢)
啣	(㘅|啣|銜|衔)
啧	(嘖|啧)
啬	(嗇|啬)
啭	(囀|啭)
啮	(嚙|啮|囓|齧)
啯	(嘓|啯)
啰	(囉|啰|罗|羅|羅)
啴	(嘽|啴)
啸	(嘯|啸|嘨|歗)
啼	(嗁|啼)
喂	(餧|餵|喂|餒|諉|诿|馁)
喃	(娚|嫐|諵|喃)
善	(譱|善)
喆	(哲|喆|悊)
喇	(喇|喇)
喎	(㖞|喎)
喐	(郁|喐|鬱|欝|鬰)
喒	(偺|咱|昝|喒)
喚	(唤|喚)
喜	(憙|喜)
喞	(唧|喞)
喧	(吅|諠|喧)
喨	(哴|喨)
喩	(喻|喩)
喪	(丧|喪)
喫	(吃|喫)
喬	(乔|喬)
喭	(唁|喭)
單	(单|単|單)
喰	(餐|喰|飡)
喲	(哟|喲)
営	(營|営|营)
喷	(噴|呠|喷|歕)
喻	(喩|喻)
喽	(嘍|喽|謱)
喾	(嚳|俈|喾)
喿	(噪|喿|譟)
嗀	(嗀|嗀)
嗁	(啼|嗁)
嗅	(齅|嗅)
嗆	(呛|嗆)
嗇	(啬|嗇)
嗉	(膆|嗉)
嗊	(唝|嗊)
嗎	(吗|嗎)
嗒	(㗳|嗒)
嗚	(呜|嗚)
嗞	(咨|諮|嗞|谘)
嗥	(嘷|嚎|嗥|噑)
嗩	(唢|嗩)
嗫	(囁|嗫|讘)
嗬	(呵|嗬|訶|诃)
嗳	(噯|嗳)
嗶	(哔|嗶)
嗹	(𪡏|嗹)
嗻	(處|䖏|処|嗻|处)
嗽	(瘶|嗽)
嘆	(叹|歎|嘆)
嘈	(䜊|嘈)
嘍	(喽|謱|嘍)
嘎	(尜|嘎)
嘑	(呼|嘑|虖|謼)
嘓	(啯|嘓)
嘔	(呕|慪|嘔|怄)
嘖	(啧|嘖)
嘗	(尝|甞|嘗)
嘘	(噓|嘘)
嘜	(唛|嘜)
嘤	(嚶|嘤)
嘨	(嘯|啸|嘨|歗)
嘩	(哗|譁|嘩)
嘮	(唠|嘮)
嘯	(啸|嘨|歗|嘯)
嘰	(叽|嘰)
嘱	(囑|嘱)
嘴	(咀|觜|嘴)
嘵	(哓|嘵)
嘷	(嗥|嘷|嚎|噑)
嘸	(呒|嘸)
嘻	(咥|嘻)
嘽	(啴|嘽)
嘿	(默|嘿|黙)
噁	(恶|噁|惡|悪|惡)
噂	(譐|噂)
噅	(噕|𠯠|噅)
噉	(㗖|啖|啗|噉)
噏	(吸|噏)
噐	(器|噐)
噑	(嚎|嗥|噑|嘷)
噓	(嘘|噓)
噕	(噅|噕|𠯠)
噚	(㖊|噚)
噜	(嚕|噜)
噝	(咝|噝)
噠	(哒|噠)
噥	(哝|噥)
噦	(哕|𧬨|噦)
器	(噐|器)
噪	(喿|譟|噪)
噯	(嗳|噯)
噲	(哙|噲)
噴	(呠|喷|歕|噴)
噸	(吨|啍|噸)
噹	(当|噹|當)
嚀	(咛|嚀)
嚇	(吓|嚇)
嚌	(哜|嚌)
嚎	(嗥|噑|嘷|嚎)
嚏	(嚔|嚏)
嚔	(嚏|嚔)
嚕	(噜|嚕)
嚙	(啮|囓|齧|嚙)
嚠	(瀏|嚠|浏)
嚢	(囊|嚢)
嚣	(囂|嚣|嚻)
嚥	(咽|咽|嚥)
嚦	(呖|嚦)
嚨	(咙|嚨)
嚬	(顰|嚬|颦)
嚮	(向|嚮|曏)
嚲	(亸|嚲)
嚳	(俈|喾|嚳)
嚴	(严|厳|嚴)
嚵	(饞|嚵|馋)
嚶	(嘤|嚶)
嚹	(𡅈|嚹)
嚻	(囂|嚣|嚻)
囀	(啭|囀)
囁	(嗫|讘|囁)
囂	(嚣|嚻|囂)
囅	(冁|囅)
囈	(呓|囈)
囉	(啰|罗|囉|羅|羅)
囊	(嚢|囊)
囌	(蘇|囌|苏|蘓)
囑	(嘱|囑)
囓	(嚙|齧|啮|囓)
囘	(回|囬|囘|廻|廽|迴|逥)
四	(肆|四)
回	(囘|囬|廻|廽|迴|逥|回)
囟	(䪿|倖|幸|顖|囟)
团	(團|团|団)
団	(團|团|団)
囤	(𥫱|囤)
囪	(囱|囪)
囬	(囘|回|囬|廻|廽|迴|逥)
园	(刓|園|园)
囮	(諤|𡈙|囮|讍|谔)
囯	(國|囯|国|圀)
困	(睏|困)
囱	(囪|囱)
囲	(圍|囲|围)
図	(圖|図|图|圕)
围	(圍|囲|围)
囵	(圇|囵)
囹	(囹|囹)
国	(國|囯|国|圀)
图	(圖|図|图|圕)
圀	(國|囯|国|圀)
圅	(函|凾|圅)
圆	(圓|円|圆|圎)
圇	(囵|圇)
圈	(圏|圈)
國	(囯|国|圀|國)
圍	(囲|围|圍)
圎	(圓|円|圆|圎)
圏	(圈|圏)
園	(园|刓|園)
圓	(円|圆|圎|圓)
圕	(圖|図|图|圕)
圖	(図|图|圕|圖)
團	(团|団|團)
圝	(圞|圝|𪢮)
圞	(圝|𪢮|圞)
圢	(町|圢)
圣	(聖|圣|垩|堊)
圧	(壓|压|圧)
圬	(杇|圬)
圭	(珪|圭)
圹	(壙|圹)
场	(場|场|塲)
圻	(垠|圻)
址	(阯|址)
坂	(阪|坂)
坆	(墳|坆|坟)
坋	(坌|坋)
坌	(坋|坌)
坎	(埳|坎)
坏	(坯|壞|坏|壊)
坐	(座|坐)
坑	(阬|坑)
块	(塊|凷|块)
坚	(堅|坚)
坛	(壇|罈|坛|墰|壜|傁|叟|叜)
坜	(壢|坜)
坝	(壩|坝|垻)
坞	(塢|坞|鄔|隖|隝|邬)
坟	(墳|坆|坟)
坠	(墜|坠)
坤	(堃|坤)
坫	(店|坫)
坭	(泥|坭|泥)
坯	(坏|壞|坯|壊)
坰	(冂|冋|坰)
坵	(丘|㐀|丠|坵)
垂	(埀|垂)
垄	(壟|垄|壟)
垅	(壠|垅)
垆	(壚|垆)
垒	(壘|垒|塁|壘)
垓	(陔|垓)
垔	(堙|陻|垔)
垛	(垜|垛)
垜	(垛|垜)
垠	(圻|垠)
垦	(墾|垦)
垩	(堊|聖|垩|圣)
垫	(墊|垫)
垭	(埡|垭)
垱	(壋|垱)
垲	(塏|垲)
垴	(堖|垴)
垵	(埯|垵)
垻	(壩|坝|垻)
埀	(垂|埀)
埇	(甬|埇)
埒	(埓|埒)
埓	(埒|埓)
埘	(塒|埘)
埙	(塤|埙|壎)
埚	(堝|埚)
埜	(野|埜)
域	(㽣|譽|域|誉)
埡	(垭|埡)
埯	(垵|埯)
埰	(采|埰|採|釆)
埳	(坎|埳)
埶	(秇|蓺|藝|埶|兿|艺|芸|蕓)
執	(执|執)
基	(抍|拯|基)
埼	(崎|埼|嵜|碕)
埽	(掃|埽|扫)
堃	(坤|堃)
堅	(坚|堅)
堆	(𠂤|堆|𣳨)
堇	(菫|堇)
堈	(缸|罁|堈)
堊	(垩|聖|堊|圣)
堑	(塹|堑|壍)
堕	(墮|堕)
堖	(垴|堖)
堘	(塍|堘)
堙	(垔|陻|堙)
堝	(埚|堝)
堤	(隄|堤)
堦	(階|堦|阶)
堭	(隍|堭)
堯	(尧|尭|堯)
報	(报|報)
場	(场|塲|場)
堺	(界|堺|畍)
堿	(鹻|鹼|堿|碱|硷|鹸|礆|險|险|険)
塁	(壘|垒|塁|壘)
塆	(壪|塆)
塈	(墍|塈)
塊	(凷|块|塊)
塋	(茔|塋)
塍	(堘|塍)
塏	(垲|塏)
塐	(塑|塐)
塑	(塐|塑)
塒	(埘|塒)
塔	(㙮|墖|塔)
塗	(凃|涂|塗)
塚	(中|冢|塚|塚)
塜	(塳|塜)
塞	(塞|塞)
塟	(葬|塟)
塡	(填|窴|塡)
塢	(坞|鄔|隖|隝|塢|邬)
塤	(埙|壎|塤)
塩	(鹽|䀋|塩|盐|𥂁)
填	(塡|填|窴)
塲	(場|场|塲)
塳	(塜|塳)
塵	(尘|塵)
塹	(堑|壍|塹)
塾	(孰|塾)
墈	(磡|墈)
墊	(垫|墊)
墍	(塈|墍)
墖	(塔|㙮|墖)
増	(增|増)
墙	(牆|墙|墻|廧)
墜	(坠|墜)
墝	(磽|墝|硗)
增	(増|增)
墤	(隤|墤|𬯎)
墫	(樽|罇|墫|節|卩|节|㔾|部)
墮	(堕|墮)
墰	(傁|叟|壜|罈|叜|墰|坛|壇)
墳	(坆|坟|墳)
墻	(廧|牆|墻|墙)
墾	(垦|墾)
壇	(坛|壇|罈|墰|壜|傁|叟|叜)
壈	(𡒄|壈)
壊	(壞|坏|坯|壊)
壋	(垱|壋)
壌	(壤|壌)
壍	(塹|堑|壍)
壎	(塤|埙|壎)
壐	(璽|壐|玺)
壓	(压|圧|壓)
壘	(垒|塁|壘|壘)
壙	(圹|壙)
壚	(垆|壚)
壜	(墰|罈|傁|叟|壜|坛|叜|壇)
壞	(坏|坯|壊|壞)
壟	(垄|壟|壟)
壠	(垅|壠)
壢	(坜|壢)
壤	(壌|壤)
壩	(坝|垻|壩)
壪	(塆|壪)
壮	(壯|壮)
壯	(壮|壯)
声	(聲|声)
売	(賣|卖|売)
壳	(㱿|殻|殼|壳)
壶	(壺|壶|壷)
壷	(壺|壶|壷)
壸	(壼|壸)
壹	(一|弌|搋|壹|扠)
壺	(壶|壷|壺)
壻	(婿|壻|聟)
壼	(壸|壼)
壽	(夀|寿|壽)
夀	(壽|寿|夀)
处	(處|䖏|処|嗻|处)
夅	(降|夅|降)
备	(備|俻|偹|备)
変	(變|变|変)
夊	(攵|夊|攴|撲|扑)
复	(復|複|覆|复|復)
夐	(敻|夐)
外	(舀|外|抌)
夘	(卯|夘|戼)
多	(夛|多)
夛	(多|夛)
夜	(亱|夜)
够	(夠|彀|够)
夠	(够|彀|夠)
夢	(夣|梦|夢)
夣	(夢|夣|梦)
夥	(伙|夥)
天	(靝|天|靔)
夭	(殀|夭)
夯	(䂫|夯)
夲	(本|夲)
头	(頭|头)
夸	(誇|侉|夸)
夹	(夾|夹)
夺	(奪|夺)
夾	(夹|夾)
奁	(奩|匳|奁)
奂	(奐|奂)
奇	(竒|奇)
奈	(柰|奈|奈)
奋	(奮|奋)
奌	(點|奌|点)
奎	(㚝|奞|奎)
奐	(奂|奐)
契	(契|契)
奔	(犇|逩|奔)
奕	(弈|奕)
奖	(奬|獎|奖|奨)
奘	(弉|奘)
奞	(㚝|奎|奞)
奥	(奧|奥)
奧	(奥|奧)
奨	(奬|奖|奨|獎)
奩	(匳|奁|奩)
奪	(夺|奪)
奬	(奖|奨|獎|奬)
奮	(奋|奮)
女	(女|女)
奶	(妳|嬭|你|奶|您|祢|袮|伱|伲|禰)
奸	(姦|奸)
她	(他|她|牠|它|佗)
奼	(姹|奼)
妆	(妝|妆|粧)
妇	(婦|妇|媍)
妈	(媽|妈)
妊	(姙|妊)
妍	(姸|妍)
妒	(妬|妒)
妙	(玅|妙)
妝	(妆|粧|妝)
妤	(伃|妤)
妩	(嫵|妩|娬)
妪	(嫗|妪)
妫	(媯|妫|嬀)
妬	(妒|妬)
妳	(你|奶|嬭|您|祢|袮|伱|伲|妳|禰)
姆	(佬|姥|姆)
姉	(姊|姉)
姊	(姉|姊)
姍	(姗|姍)
姗	(姍|姗)
姙	(妊|姙)
姜	(薑|姜|葁)
姢	(娟|姢)
姣	(㚣|姣)
姥	(姆|佬|姥)
姦	(奸|姦)
姪	(侄|姪)
姫	(姬|姫)
姬	(姫|姬)
姸	(妍|姸)
姹	(奼|姹)
姻	(婣|姻)
娄	(婁|娄)
娅	(婭|娅)
娆	(嬈|娆)
娇	(嬌|娇|撟|挢)
娈	(孌|娈)
娘	(嬢|孃|娘)
娚	(喃|娚|嫐|諵)
娛	(娯|娱|娛)
娟	(姢|娟)
娠	(㛛|暖|煖|娠|諼|谖)
娩	(㝃|娩)
娬	(嫵|妩|娬)
娯	(娛|娯|娱)
娱	(娛|娯|娱)
娲	(媧|娲)
娴	(嫻|娴|嫺)
娿	(婀|娿)
婀	(娿|婀)
婁	(娄|婁)
婣	(姻|婣)
婦	(妇|媍|婦)
婬	(淫|婬)
婭	(娅|婭)
婳	(嫿|婳)
婴	(嬰|婴|孾)
婵	(嬋|婵)
婶	(嬸|婶)
婾	(媮|婾)
婿	(壻|聟|婿)
媆	(嫩|嫰|媆|𡞾)
媍	(婦|妇|媍)
媧	(娲|媧)
媪	(媼|媪)
媭	(嬃|媭)
媮	(婾|媮)
媯	(妫|嬀|媯)
媰	(㛀|媰)
媼	(媪|媼)
媽	(妈|媽)
媿	(愧|媿)
嫉	(𡜱|嫉)
嫋	(嬝|嫋|袅|裊)
嫐	(喃|娚|嫐|諵)
嫒	(嬡|嫒)
嫔	(嬪|嫔)
嫕	(嫛|嫕)
嫗	(妪|嫗)
嫛	(嫕|嫛)
嫩	(媆|嫰|𡞾|嫩)
嫫	(嬷|嫫|嬤)
嫰	(媆|嫩|𡞾|嫰)
嫱	(嬙|嫱)
嫵	(妩|娬|嫵)
嫺	(嫻|娴|嫺)
嫻	(娴|嫺|嫻)
嫿	(婳|嫿)
嬀	(媯|妫|嬀)
嬃	(媭|嬃)
嬈	(娆|嬈)
嬋	(婵|嬋)
嬌	(娇|撟|嬌|挢)
嬙	(嫱|嬙)
嬝	(嫋|袅|裊|嬝)
嬡	(嫒|嬡)
嬢	(娘|嬢|孃)
嬤	(嬷|嫫|嬤)
嬪	(嫔|嬪)
嬭	(奶|妳|嬭|你|您|祢|袮|伱|伲|禰)
嬰	(婴|孾|嬰)
嬲	(惱|嬲|恼)
嬷	(嫫|嬤|嬷)
嬸	(婶|嬸)
嬾	(懶|嬾|懒|懶)
孀	(霜|孀)
孃	(娘|嬢|孃)
孋	(㛤|孋)
孌	(娈|孌)
子	(只|子|止|祇|祗|隻)
孙	(孫|孙)
孚	(孵|孚)
孛	(柏|栢|孛)
学	(學|学|斈)
孪	(孿|孪)
孫	(孙|孫)
孭	(𧴯|孭)
孰	(塾|孰)
孳	(孶|孳)
孵	(孚|孵)
孶	(孳|孶)
學	(学|斈|學)
孼	(孽|孼)
孽	(孼|孽)
孾	(嬰|婴|孾)
孿	(孪|孿)
宁	(寧|宁|寍|寕|寜|寧|寧|𡨴)
宂	(冗|宂|冗)
它	(佗|牠|它|他|她)
宅	(宅|宅)
完	(烟|煙|完|菸)
宍	(肉|宍)
宐	(宜|冝|宐)
宜	(冝|宐|宜)
宝	(寚|寳|寶|宝)
实	(實|实|実|寔)
実	(實|实|実|寔)
宠	(寵|宠|𠖥)
审	(審|审)
宪	(憲|宪)
宫	(宮|宫)
宮	(宫|宮)
宴	(讌|䜩|宴|燕|醼|鷰)
家	(傢|家)
宻	(密|宻)
宼	(寇|冦|宼)
宽	(寬|宽|寛)
宾	(賓|宾|賔)
宿	(㝛|宿)
寃	(冤|寃)
密	(宻|密)
寇	(冦|宼|寇)
富	(冨|富)
寍	(寧|宁|寍|寕|寜|寧|寧|𡨴)
寓	(庽|寓)
寔	(實|实|実|寔)
寕	(寜|寧|寕|宁|寍|寧|寧|𡨴)
寗	(甯|寗)
寘	(置|寘)
寚	(宝|寳|寚|寶)
寛	(寬|宽|寛)
寜	(寕|寧|寜|宁|寍|寧|寧|𡨴)
寝	(寢|寝)
察	(詧|察)
寠	(窶|寠|窭)
寡	(關|关|寡|関|闗|𨶹)
寢	(寝|寢)
實	(实|実|寔|實)
寧	(宁|寍|寕|寜|寧|寧|𡨴|寧)
寨	(砦|寨)
審	(审|審)
寫	(写|冩|寫)
寬	(宽|寛|寬)
寮	(寮|寮)
寳	(宝|寚|寶|寳)
寵	(宠|𠖥|寵)
寶	(宝|寳|寚|寶)
寸	(吋|寸)
对	(對|对)
寻	(尋|寻)
导	(導|导)
寿	(壽|夀|寿)
尀	(叵|尀)
専	(專|专|専|耑)
尃	(敷|旉|尃)
尅	(剋|克|尅)
将	(將|𤕭|将|畺|疆)
將	(将|畺|疆|𤕭|將)
專	(专|専|耑|專)
尉	(熨|㷉|尉)
尋	(寻|尋)
對	(对|對)
導	(导|導)
尒	(尔|爾|尒|尓)
尓	(爾|尒|尓|尔)
尔	(尒|爾|尔|尓)
尗	(叔|尗)
尘	(塵|尘)
尙	(尚|尙)
尚	(尙|尚)
尜	(嘎|尜)
尝	(嘗|尝|甞)
尟	(鮮|尟|尠|鱻|鲜)
尠	(鮮|尟|尠|鱻|鲜)
尢	(尣|尢)
尣	(尢|尣)
尥	(尦|尥)
尦	(尥|尦)
尧	(堯|尧|尭)
尨	(狵|龍|尨|竜|龒|龙|龍)
尩	(㑌|尩)
尪	(尫|尪)
尫	(尪|尫)
尭	(堯|尧|尭)
尰	(腫|尰|肿)
尲	(尷|尲|尴)
尴	(尷|尲|尴)
尷	(尲|尴|尷)
尸	(屍|尸)
尻	(䯌|尻)
尽	(儘|盡|侭|尽)
尿	(氽|溺|脲|尿|尿|氼|溺)
层	(層|层)
屃	(屓|屃|屭)
居	(㞐|居)
屆	(届|屆)
屉	(屜|屉|𡲕)
届	(屆|届)
屍	(尸|屍)
屏	(摒|屏|屛|拼|秉)
屓	(屃|屭|屓)
屛	(摒|屏|屛|拼|秉)
屜	(屉|𡲕|屜)
属	(屬|𡱆|属)
屡	(屢|屡|屢)
屢	(屡|屢|屢)
屣	(蹝|躧|屣)
層	(层|層)
履	(履|履)
屦	(屨|屦)
屨	(屦|屨)
屩	(蹺|𪨗|屩|跷|蹻|𫏋)
屬	(属|𡱆|屬)
屭	(屓|屃|屭)
屿	(嶼|屿)
岀	(出|岀)
岁	(亗|歲|𡻕|岁|嵗|歳)
岂	(豈|岂|豈)
岐	(歧|岐)
岖	(嶇|㠊|岖)
岗	(岡|崗|冈|岗)
岘	(峴|岘)
岙	(嶴|岙)
岚	(嵐|岚|嵐)
岛	(島|岛|嶋|嶌)
岡	(冈|岗|崗|岡)
岨	(砠|岨)
岩	(巖|岩|巌)
岫	(峀|岫)
岭	(岺|嶺|岭|嶺)
岳	(嶽|岳)
岺	(岭|岺|嶺|嶺)
岽	(崠|崬|岽)
岿	(巋|岿)
峀	(岫|峀)
峄	(嶧|峄)
峒	(洞|峒|洞)
峡	(峽|峡)
峣	(嶢|峣)
峤	(嶠|峤)
峥	(崢|峥)
峦	(巒|峦)
峨	(峩|峨)
峩	(峨|峩)
峭	(陗|峭)
峯	(峰|峯)
峰	(峯|峰)
峴	(岘|峴)
島	(岛|嶋|嶌|島)
峺	(硬|峺|應|应|応)
峽	(峡|峽)
崂	(嶗|崂)
崃	(崍|崃)
崄	(嶮|崄)
崇	(崈|崇)
崈	(崇|崈)
崋	(華|华|崋|蕐)
崍	(崃|崍)
崎	(埼|嵜|碕|崎)
崐	(崑|崐)
崑	(崐|崑)
崒	(崪|崒)
崔	(磪|崔)
崕	(崖|厓|崕)
崖	(厓|崕|崖)
崗	(岗|岡|崗|冈)
崘	(崙|侖|崘|崙|仑)
崙	(侖|崘|崙|仑|崙)
崟	(嶔|崟|嵚)
崠	(岽|崠|崬)
崢	(峥|崢)
崧	(嵩|崧)
崪	(崒|崪)
崬	(岽|崠|崬)
崭	(嶄|崭|巉)
嵆	(嵇|嵆)
嵇	(嵆|嵇)
嵐	(岚|嵐|嵐)
嵗	(歲|亗|岁|嵗|歳|𡻕)
嵘	(嶸|嵘)
嵚	(嶔|崟|嵚)
嵜	(崎|埼|嵜|碕)
嵝	(嶁|嵝)
嵠	(谿|嵠)
嵩	(崧|嵩)
嵯	(嵳|嵯)
嵳	(嵯|嵳)
嵼	(𡶴|嵼)
嶁	(嵝|嶁)
嶃	(磛|嶃)
嶄	(崭|巉|嶄)
嶇	(㠊|岖|嶇)
嶋	(島|岛|嶋|嶌)
嶌	(島|岛|嶋|嶌)
嶎	(蔚|嶎)
嶔	(崟|嵚|嶔)
嶗	(崂|嶗)
嶝	(磴|嶝)
嶠	(峤|嶠)
嶢	(峣|嶢)
嶧	(峄|嶧)
嶮	(崄|嶮)
嶴	(岙|嶴)
嶸	(嵘|嶸)
嶺	(岭|嶺|岺|嶺)
嶼	(屿|嶼)
嶽	(岳|嶽)
巅	(巔|巅|巓)
巉	(嶄|崭|巉)
巋	(岿|巋)
巌	(巖|岩|巌)
巍	(魏|巍)
巒	(峦|巒)
巓	(巔|巅|巓)
巔	(巅|巓|巔)
巖	(岩|巌|巖)
巛	(川|巛)
川	(巛|川)
巡	(廵|巡)
巢	(巣|巢)
巣	(巢|巣)
巤	(剌|鬣|巤)
巨	(鉅|钜|巨)
巩	(鞏|巩)
巯	(巰|巯)
巰	(巯|巰)
巴	(笆|芭|巴)
巵	(卮|巵)
巺	(巽|巺)
巻	(捲|卷|巻)
巽	(巺|巽)
帀	(匝|迊|帀)
币	(幣|币|幤)
布	(佈|布)
帅	(帥|帅)
帆	(㠶|拚|帆|抃)
师	(師|师)
帋	(紙|帋|纸)
希	(稀|希)
帏	(幃|帏)
帐	(帳|帐|賬|账)
帒	(袋|帒)
帘	(簾|帘|簾|𢅏|𢅖|㡘)
帙	(袠|帙)
帚	(箒|菷|帚)
帜	(幟|帜|旘)
帡	(帲|帡)
帥	(帅|帥)
带	(帶|带|帯)
帧	(幀|帧)
師	(师|師)
帬	(裙|帬|裠)
席	(蓆|席)
帮	(幇|幫|帮|幚)
帯	(帶|带|帯)
帰	(歸|帰|归|皈)
帱	(幬|帱)
帲	(帡|帲)
帳	(帐|賬|账|帳)
帶	(带|帯|帶)
帻	(幘|帻)
帼	(幗|帼)
幀	(帧|幀)
幂	(冪|鼏|幂|羃)
幃	(帏|幃)
幇	(帮|幫|幇|幚)
